# category
軍艦	駆逐艦
# 駆逐艦 型
駆逐艦	神風型
駆逐艦	睦月型
駆逐艦	吹雪型
駆逐艦	綾波型
駆逐艦	暁型
駆逐艦	初春型
駆逐艦	白露型
駆逐艦	改白露型
駆逐艦	朝潮型
駆逐艦	陽炎型
駆逐艦	改陽炎型
駆逐艦	夕雲型
駆逐艦	秋月型
駆逐艦	島風型
駆逐艦	松型
駆逐艦	Z1型
駆逐艦	マエストラーレ級
駆逐艦	J・C・バトラー級
駆逐艦	フレッチャー級
駆逐艦	改フレッチャー級
駆逐艦	J級
駆逐艦	タシュケント級
駆逐艦	陽字型
# 駆逐艦 個別
神風型	神風
神風型	神風改
神風型	朝風
神風型	春風
神風型	松風
神風型	旗風
睦月型	睦月
睦月型	睦月改二
睦月型	如月
睦月型	如月改二
睦月型	弥生
睦月型	卯月
睦月型	卯月改
睦月型	皐月
睦月型	皐月改二
睦月型	水無月
睦月型	文月
睦月型	文月改二
睦月型	長月
睦月型	卯月
睦月型	菊月
睦月型	三日月
睦月型	望月
吹雪型	吹雪
吹雪型	吹雪改二
吹雪型	白雪
吹雪型	深雪
吹雪型	初雪
吹雪型	深雪
吹雪型	叢雲
吹雪型	叢雲改二
吹雪型	薄雲
吹雪型	磯波
吹雪型	浦波
綾波型	綾波
綾波型	綾波改二
綾波型	敷波
綾波型	敷波改二
綾波型	天霧
綾波型	天霧改
綾波型	狭霧
綾波型	朧
綾波型	朧改
綾波型	曙
綾波型	曙改
綾波型	曙改二
綾波型	綾波
綾波型	漣
綾波型	漣改
綾波型	潮
綾波型	綾潮改二
暁型	暁
暁型	暁改二
暁型	響
暁型	Верный
暁型	雷
暁型	電
初春型	初春
初春型	初春改二
初春型	子日
初春型	若葉
初春型	初霜
初春型	初霜改二
初春型	有明
白露型	白露
白露型	白露改
白露型	白露改二
白露型	時雨
白露型	時雨改二
白露型	村雨
白露型	村雨改
白露型	村雨改二
白露型	夕立
白露型	夕立改二
白露型	春雨
白露型	春雨改
白露型	五月雨
改白露型	海風
改白露型	海風改二
改白露型	山風
改白露型	江風
改白露型	江風改二
改白露型	涼風
朝潮型	朝潮
朝潮型	朝潮改二
朝潮型	朝潮改二丁
朝潮型	大潮
朝潮型	大潮改二
朝潮型	満潮
朝潮型	満潮改二
朝潮型	荒潮
朝潮型	荒潮改二
朝潮型	朝雲
朝潮型	朝雲改
朝潮型	山雲
朝潮型	山雲改
朝潮型	峯雲
朝潮型	霰
朝潮型	霰改二
朝潮型	霞
朝潮型	霞改二
朝潮型	霞改二乙
陽炎型	陽炎
陽炎型	陽炎改二
陽炎型	不知火
陽炎型	不知火改二
陽炎型	黒潮
陽炎型	黒潮改二
陽炎型	親潮
陽炎型	初風
陽炎型	雪風
陽炎型	天津風
陽炎型	天津風改
陽炎型	時津風
陽炎型	浦風
陽炎型	浦風丁改
陽炎型	磯風
陽炎型	磯風改
陽炎型	磯風乙改
陽炎型	浜風
陽炎型	浜風乙改造
陽炎型	谷風
陽炎型	谷風丁改
陽炎型	野分
陽炎型	黒嵐
陽炎型	萩風
陽炎型	舞風
陽炎型	秋雲
陽炎型	秋雲改二
改陽炎型	雪風改二
夕雲型	夕雲
夕雲型	夕雲改二
夕雲型	巻雲
夕雲型	巻雲改二
夕雲型	風雲
夕雲型	風雲改二
夕雲型	長波
夕雲型	長波改二
夕雲型	高波
夕雲型	高波改
夕雲型	藤波
夕雲型	早波
夕雲型	浜波
夕雲型	沖波
夕雲型	沖波改二
夕雲型	岸波
夕雲型	朝霜
夕雲型	朝霜改
夕雲型	朝霜改二
夕雲型	早霜
夕雲型	秋霜
夕雲型	清霜
秋月型	秋月
秋月型	照月
秋月型	涼月
秋月型	涼月改
秋月型	初月
島風型	島風
松型	松
松型	竹
Z1型	Z1
Z1型	Z1zwei
Z1型	Z3
Z1型	Z3zwei
マストラーレ級	Maestrale
マストラーレ級	Maestrale改
マストラーレ級	Grecale
マストラーレ級	Grecale改
マストラーレ級	Libeccio
マストラーレ級	Scirocco
J・C・バトラー級	SamuelB.Roberts
J・C・バトラー級	SamuelB.Roberts改
フレッシャー級	Fletcher
フレッシャー級	Fletcher改
フレッシャー級	Fletcher改Mod.2
フレッシャー級	Johnston
フレッシャー級	Johnston改
改フレッシャー級	FletcherMk.II
J級	Jervis
J級	Jervis改
J級	Janus
タシュケント級	Ташкент
陽字号	丹陽
